id,created_at,updated_at,name,registration_number,email,contact,fax,internal,specialty,profile_photo_path,information,practice_place,user_id,deleted_at
1,14/1/18 20:35,5/2/21 9:20,Lavon Brierly,M10081B,LavonBrierly@savetrace.com,6595554568,,0,Internal Medicine,,,Gregory Private Hospital,10,
2,6/2/10 18:54,1/2/21 7:53,Preston Esses,M10082B,PrestonEsses@savetrace.com,6585555176,,0,General Surgery,,,Gregory Private Hospital,11,
3,14/4/07 5:53,9/1/21 15:56,Syreeta Mccloy,M10083B,SyreetaMccloy@savetrace.com,6585556696,,0,Gastroenterology,,,Gregory Private Hospital,12,
4,17/5/01 13:08,7/2/21 23:24,Stephaine Grosvenor,M10084B,StephaineGrosvenor@savetrace.com,6595554382,,0,Gastroenterology,,,Gregory Private Hospital,13,
5,6/4/07 23:43,18/1/21 0:30,Vertie Dewberry,M10085B,VertieDewberry@savetrace.com,6595552779,,1,Ophthalmology,,,Queen's Clinic,14,
6,12/7/04 1:09,16/1/21 14:14,Vada Kerby,M10086B,VadaKerby@savetrace.com,6595550177,,1,Gastroenterology,,,Queen's Clinic,15,
7,19/2/04 20:45,31/1/21 7:32,Lakiesha Fabela,M10087B,LakieshaFabela@savetrace.com,6595556290,,1,Cardiology,,,Lee's Pracetice,16,
8,29/12/16 8:42,13/1/21 23:29,Stella Camara,M10088B,StellaCamara@savetrace.com,658555923,,1,General Surgery,,,Lee's Pracetice,17,
9,16/5/17 16:27,26/1/21 16:39,Virgil Wiese,M10089B,VirgilWiese@savetrace.com,658555568,,1,Gastroenterology,,,Fook Mi Hospital,18,
10,19/2/04 22:37,5/1/21 8:08,Hildred Tomberlin,M10090B,HildredTomberlin@savetrace.com,6595555725,,1,General Surgery,,,Fook Mi Hospital,19,
11,2/11/07 15:31,10/2/21 18:24,Julene Lashbrook,M10091B,JulenLashbrook@savetrace.com,6585554457,,1,Neurology,,,Lee Wah Hospital,20,
12,10/2/16 5:07,28/1/21 22:12,Lorelei Culbreth,M10092B,LoreleiCulbreth@savetrace.com,6585555260,,1,General Surgery,,,Lee Wah Hospital,21,
13,3/8/04 17:28,18/1/21 4:57,Terence Sunseri,M10093B,TerenceSunseri@savetrace.com,659555697,,1,Dermatology,,,Seattle Grace Hospital,22,
14,6/1/04 18:59,10/2/21 19:33,Cecile Barahona,M10094B,CecileBarahona@savetrace.com,6595558029,,1,General Surgery,,,Seattle Grace Hospital,23,
15,9/6/11 21:55,21/1/21 11:00,Colleen Woodward,M10095B,ColleenWoodward@savetrace.com,6585550988,,1,Anaesthesiology,,,Grey Sloan Memorial Hospital,24,
16,6/5/03 19:51,24/1/21 12:10,Denise Brazil,M10096B,DeniseBrazil@savetrace.com,6585556893,,1,Internal Medicine,,,Grey Sloan Memorial Hospital,25,
17,19/2/13 8:09,10/2/21 18:42,Laurel Sobel,M10097B,LaurelSobel@savetrace.com,6585555677,,1,Dermatology,,,Changi Hospital,26,
18,18/8/06 16:23,19/1/21 2:59,Stephania Harter,M10098B,StephaniaHarter@savetrace.com,6585554811,,1,Cardiology,,,Changi Hospital,27,
19,30/6/03 18:45,6/2/21 1:54,Yang Piland,M10099B,YangPiland@savetrace.com,6585550276,,1,Internal Medicine,,,Singapore General Hospital,28,
20,25/4/20 17:35,14/1/21 11:16,Yessenia Wimbley,M10100B,YesseniaWimbley@savetrace.com,6595555999,,1,General Surgery,,,Singapore General Hospital,29,
21,16/9/04 23:43,1/1/21 14:34,Veronique Chmura,M10101B,VeroniqueChmura@savetrace.com,6595556110,,1,Gastroenterology,,,Khoo Teck Phuat Hospital,30,
22,27/3/08 15:08,6/1/21 15:19,Mia Wilkison,M10102B,MiaWilkison@savetrace.com,6585553789,,1,Ophthalmology,,,Khoo Teck Phuat Hospital,31,
23,4/4/16 12:16,1/1/21 15:14,Dalene Laverdiere,M10103B,DaleneLaverdiere@savetrace.com,6585553335,,1,Dermatology,,,Ng Seng Clinic,32,
